"id","name","short"
1,"Bern","BE"
2,"Aargau","AG"
5,"Basel-Landschaft","BL"
6,"Basel-Stadt","BS"
7,"Fribourg","FR"
8,"Genève","GE"
10,"Graubünden","GR"
11,"Jura","JU"
12,"Luzern","LU"
13,"Neuchâtel","NE"
14,"Nidwalden","NW"
16,"St. Gallen","SG"
19,"Solothurn","SO"
20,"Thurgau","TG"
21,"Ticino","TI"
23,"Vaud","VD"
24,"Valais","VS"
26,"Zürich","ZH"
